channel,spacecraft,train_len,test_len,n_features,anomaly_pct,if_f1,if_auc,ae_f1,ae_auc
A-1,SMAP,2880,8640,25,0.97,0.0,0.4907,0.0464,0.5052
A-2,SMAP,2648,7914,25,1.39,0.0,0.51,0.0,0.6875
A-3,SMAP,2736,8205,25,2.25,0.0,0.6535,0.0074,0.5848
A-4,SMAP,2690,8080,25,1.36,0.0,0.6993,0.0224,0.7378
A-5,SMAP,705,4693,25,1.07,0.0,0.729,0.0211,0.7655
A-6,SMAP,682,4453,25,0.9,0.0,0.7697,0.0,0.3821
A-7,SMAP,2879,8631,25,27.81,0.0,0.4396,0.0251,0.4227
A-8,SMAP,762,8375,25,45.43,0.0,0.9309,0.0025,0.7014
A-9,SMAP,762,8434,25,45.81,0.0,0.0017,0.0,0.6574
B-1,SMAP,2435,8044,25,0.87,0.0,0.4918,0.0335,0.6926
C-1,MSL,2158,2264,55,13.69,0.0479,0.5072,0.0955,0.5477
C-2,MSL,764,2051,55,6.58,0.0,0.4635,0.0278,0.6242
D-1,SMAP,2849,8509,25,38.29,0.0073,0.7748,0.9119,0.9486
D-11,SMAP,2611,7431,25,0.81,0.0,0.4734,0.0,0.2184
D-12,SMAP,312,7918,25,34.59,0.0,0.5,0.9499,0.9544
D-13,SMAP,1490,7663,25,2.09,0.0,0.5,0.0903,0.6511
D-14,MSL,3675,2625,55,8.38,0.0452,0.3219,0.4861,0.8247
D-15,MSL,2074,2158,55,29.66,0.0,0.7539,0.1342,0.682
D-16,MSL,1451,2191,55,29.67,0.0509,0.3949,0.0749,0.6184
D-2,SMAP,2880,8595,25,49.06,0.0108,0.4973,0.9272,0.923
D-3,SMAP,2880,8640,25,37.91,0.0759,0.8162,0.9291,0.9691
D-4,SMAP,2833,8473,25,38.32,0.0787,0.8593,0.9563,0.9994
D-5,SMAP,2561,7628,25,0.66,0.0294,0.6048,0.0122,0.6745
D-6,SMAP,2594,7884,25,1.01,0.0471,0.5854,0.0296,0.5727
D-7,SMAP,2583,7642,25,35.34,0.0166,0.5087,0.8044,0.9435
D-8,SMAP,2602,7874,25,0.64,0.0,0.495,0.0154,0.505
D-9,SMAP,2583,7406,25,15.6,0.0,0.4917,0.8412,0.891
E-1,SMAP,2880,8516,25,5.94,0.0075,0.63,0.4909,0.712
E-10,SMAP,2880,8505,25,3.76,0.0057,0.8334,0.0337,0.8081
E-11,SMAP,2880,8514,25,3.44,0.0,0.8312,0.4653,0.8968
E-12,SMAP,2880,8512,25,6.83,0.0033,0.6218,0.0258,0.6241
E-13,SMAP,2880,8640,25,3.02,0.023,0.4979,0.0269,0.5174
E-2,SMAP,2880,8532,25,16.37,0.0014,0.5582,0.0046,0.577
E-3,SMAP,2880,8307,25,38.67,0.0121,0.332,0.0291,0.3305
E-4,SMAP,2880,8354,25,33.65,0.007,0.2812,0.0136,0.2598
E-5,SMAP,2880,8294,25,3.86,0.0397,0.487,0.0614,0.4871
E-6,SMAP,2880,8300,25,0.78,0.1138,0.5268,0.0624,0.612
E-7,SMAP,2769,8310,25,3.37,0.0061,0.577,0.1426,0.5793
E-8,SMAP,2880,8532,25,7.29,0.0184,0.7243,0.0372,0.6831
E-9,SMAP,2880,8302,25,4.22,0.0366,0.6218,0.0412,0.5435
F-1,SMAP,2869,8584,25,1.16,0.0,0.4948,0.0124,0.5183
F-2,SMAP,2861,8626,25,34.27,0.0,0.6451,0.6354,0.7802
F-3,SMAP,2880,8376,25,0.48,0.137,0.3706,0.0661,0.4349
F-4,MSL,2244,3422,55,2.05,0.0915,0.7719,0.0653,0.8029
F-5,MSL,2598,3922,55,3.82,0.0705,0.6071,0.0586,0.6224
F-7,MSL,2511,5054,55,8.31,0.0084,0.662,0.0212,0.6693
F-8,MSL,3342,2487,55,21.55,0.0,0.5046,0.0769,0.5219
G-1,SMAP,2820,8469,25,1.42,0.0,0.5266,0.0036,0.4236
G-2,SMAP,2478,7361,25,0.54,0.036,0.5566,0.0577,0.5793
G-3,SMAP,2624,7907,25,0.63,0.0,0.5353,0.0263,0.5416
G-4,SMAP,2551,7632,25,0.39,0.0,0.4558,0.1176,0.4644
G-6,SMAP,2881,8640,25,1.16,0.0,0.9817,0.2133,0.9714
G-7,SMAP,2446,8029,25,3.3,0.4667,0.6814,0.3577,0.6698
M-1,MSL,2209,2277,55,50.07,0.0103,0.3753,0.0654,0.2949
M-2,MSL,2208,2277,55,50.07,0.1218,0.8234,0.704,0.8439
M-3,MSL,2037,2127,55,11.75,0.0831,0.602,0.089,0.5141
M-4,MSL,2076,2038,55,12.27,0.1458,0.6207,0.0617,0.5526
M-5,MSL,2032,2303,55,13.03,0.0381,0.5552,0.0447,0.4688
M-6,MSL,1565,2049,55,8.78,0.0,0.4617,0.2832,0.9922
M-7,MSL,1587,2156,55,4.64,0.6364,0.786,0.4351,0.7921
P-1,SMAP,2872,8505,25,8.79,0.0189,0.5053,0.0743,0.4977
P-10,MSL,4308,6100,55,2.13,0.0654,0.7686,0.1201,0.7711
P-11,MSL,3969,3535,55,6.39,0.052,0.8041,0.2258,0.7777
P-14,MSL,2880,6100,55,2.95,0.0359,0.4895,0.0573,0.7558
P-15,MSL,3682,2856,55,0.7,0.0,0.5121,0.0169,0.6228
P-2,SMAP,2821,8209,25,14.92,0.0251,0.8631,0.5231,0.8679
P-2,SMAP,2821,8209,25,14.92,0.0251,0.8631,0.5231,0.8679
